"x" "y" "Species.richness" "Species.richness" "Phylogenetic.diversity" "Functional.diversity" "Functional.Phylognetic.diversity" "Phylogenetic.diversity_es" "Functional.diversity_es" "Functional.Phylogenetic.diversity_es" "Phylogenetic.diversity_rand" "Functional.diversity_rand" "Functional.Phylogenetic.diversity_rand" "Regions" "AvianPredators" "MammalianPredators" "TotalPredators" "HerbivorePredators" "NDVI" "WinterMinTemp" "TempRange" "DistanceToCoast" "HabitatType" "HabitatHet" "IceFreeHistory" "CurrentIce" "TopographicHet" "ArcticZone" "HerbivorePredators_R"
"1" 750000 2750000 0.101449275362319 0.101449275362319 0.241169111251788 0.697719112167848 2.89306996466644 -1.72627608217925 -0.0501772497045578 4.38841180646126 0.0599400599400599 0.252747252747253 1 NA 5 0 5 1 0.0766199999999994 -55.8123216848452 152.748226084926 22.9342344645959 210 9 9 0 481.293355136756 NA -6.80579627327227
"2" 850000 2750000 0.101449275362319 0.101449275362319 0.241169111251788 0.697719112167848 2.89306996466644 -1.72627608217925 -0.0501772497045578 4.38841180646126 0.0599400599400599 0.252747252747253 1 6 8 1 9 7 0.0699976000000001 -52.8562188427 157.741298971699 33.9191361090987 220 9 9 0 553.77858105202 3 -0.616808748864513
"3" 950000 2750000 0.0869565217391304 0.0869565217391304 0.235871362149605 0.691294491983761 2.93081146300964 -1.20706360288977 0.189941587179666 3.58995856702278 0.125874125874126 0.366633366633367 1 6 7 1 8 6 0.1853664 -32.3905531218647 146.620558554794 33.4892092808891 220 9 9 0 336.048392958061 3 -4.90915954398555
"4" 650000 2650000 0.0869565217391304 0.0869565217391304 0.235871362149605 0.691294491983761 2.93081146300964 -1.20706360288977 0.189941587179666 3.58995856702278 0.125874125874126 0.366633366633367 1 6 8 1 9 7 0.21254 -50.8895971663173 151.147707215106 19.2293128383929 210 9 13 0 283.731295325106 3 -4.68462937262466
"5" 750000 2650000 0.0869565217391304 0.0869565217391304 0.235871362149605 0.691294491983761 2.93081146300964 -1.20706360288977 0.189941587179666 3.58995856702278 0.125874125874126 0.366633366633367 1 6 7 1 8 6 0.200280000000002 -69.9745930858909 162.616946179276 62.7419354260769 150 9 13 0 181.164171065857 3 -5.33475817046102
"6" 850000 2650000 0.072463768115942 0.072463768115942 0.235261829660755 0.688336981776598 2.92583366697935 -0.663844461883413 0.477806324664266 2.69590704189431 0.201798201798202 0.553446553446553 1 6 5 1 6 5 0.0447544000000004 -83.8678815884605 174.703602030484 91.8828557138646 220 7 9 0 329.686922829593 3 -1.89642793887613
"7" 950000 2650000 0.072463768115942 0.072463768115942 0.235261829660755 0.688336981776598 2.92583366697935 -0.663844461883413 0.477806324664266 2.69590704189431 0.201798201798202 0.553446553446553 1 6 5 1 6 5 0.194802399999995 -59.4151254392499 162.063220511745 77.29317196705 150 9 9 0 295.678929132578 3 -6.17844051165396
"8" 1050000 2650000 0.0869565217391304 0.0869565217391304 0.235871362149605 0.691294491983761 2.93081146300964 -1.20706360288977 0.189941587179666 3.58995856702278 0.125874125874126 0.366633366633367 1 6 11 1 12 9 0.314952000000001 -32.1716699782183 156.603883913233 26.8700767371379 110 10 9 0 196.505236477644 3 -5.6072239530479
"9" 750000 2550000 0.0869565217391304 0.0869565217391304 0.235871362149605 0.691294491983761 2.93081146300964 -1.20706360288977 0.189941587179666 3.58995856702278 0.125874125874126 0.366633366633367 1 6 9 1 10 8 0.3092024 -61.1465206870909 167.833059879501 35.1174974309589 110 9 13 0 185.104519636339 3 -6.44314406202336
"10" 850000 2550000 0.0869565217391304 0.0869565217391304 0.235871362149605 0.691294491983761 2.93081146300964 -1.20706360288977 0.189941587179666 3.58995856702278 0.125874125874126 0.366633366633367 1 6 9 1 10 8 0.341499999999996 -72.3336847775915 180.947244506519 35.2691302063432 220 10 13 0 341.805957280813 3 -7.36484064758624
