"","x","y","Regions","Species.richness","Phylogenetic.diversity","Functional.diversity","Functional.Phylognetic.diversity"
"453",850000,1650000,3,NA,NA,NA,NA
"454",950000,1650000,3,NA,NA,NA,NA
"455",1850000,1650000,3,NA,NA,NA,NA
"456",1950000,1650000,3,0.072463768115942,0.25984612110141,0.631148937169793,2.42893345682646
"457",2050000,1650000,3,0.072463768115942,0.25984612110141,0.631148937169793,2.42893345682646
"458",2150000,1650000,3,0.072463768115942,0.25984612110141,0.631148937169793,2.42893345682646
"459",3150000,1650000,3,0.144927536231884,0.461932492538912,0.798121043374077,1.72778719026102
"460",3250000,1650000,3,0.202898550724638,0.594517926392421,0.869642824699805,1.46276972668741
"461",3350000,1650000,3,0.217391304347826,0.599858960329462,0.871061947255962,1.45211125424808
"462",3450000,1650000,12,0.217391304347826,0.599858960329462,0.871061947255962,1.45211125424808
"463",3550000,1650000,12,0.217391304347826,0.599858960329462,0.871061947255962,1.45211125424808
"464",3650000,1650000,12,0.202898550724638,0.593888395296337,0.860649028738075,1.4491763697599
"465",3750000,1650000,12,NA,NA,NA,NA
"466",3850000,1650000,12,NA,NA,NA,NA
"467",3950000,1650000,12,NA,NA,NA,NA
"468",4050000,1650000,12,NA,NA,NA,NA
"469",4150000,1650000,12,NA,NA,NA,NA
"470",4250000,1650000,12,NA,NA,NA,NA
"471",4350000,1650000,12,NA,NA,NA,NA
"472",4450000,1650000,12,NA,NA,NA,NA
"473",4550000,1650000,12,NA,NA,NA,NA
"474",4650000,1650000,12,NA,NA,NA,NA
"475",-3350000,1550000,3,NA,NA,NA,NA
"476",-3250000,1550000,3,NA,NA,NA,NA
"477",-3150000,1550000,3,NA,NA,NA,NA
"478",-3050000,1550000,3,NA,NA,NA,NA
"479",-2950000,1550000,3,NA,NA,NA,NA
"480",-2850000,1550000,3,NA,NA,NA,NA
"481",-2750000,1550000,3,NA,NA,NA,NA
"482",-2650000,1550000,3,0.217391304347826,0.479296836071393,0.851697122450336,1.77697213574653
"483",-2550000,1550000,3,0.217391304347826,0.479628087754749,0.849265253477633,1.77067456047714
"484",-2450000,1550000,3,0.231884057971014,0.479957326077549,0.849566210243286,1.77008697249475
"485",-2350000,1550000,3,0.202898550724638,0.442886676989462,0.846448843739893,1.91120864030876
"486",-2250000,1550000,3,0.202898550724638,0.442886676989462,0.846448843739893,1.91120864030876
"487",-2150000,1550000,3,0.246376811594203,0.482690464676609,0.85249905340598,1.76614024057246
"488",-2050000,1550000,3,0.246376811594203,0.482690464676609,0.85249905340598,1.76614024057246
"489",-1950000,1550000,3,0.260869565217391,0.48322580852093,0.853692131137575,1.76665260026276
"490",-1750000,1550000,3,0.115942028985507,0.267422966419289,0.696771013671098,2.60550177496214
"491",550000,1550000,3,0.072463768115942,0.302157187221408,0.760145666278817,2.5157292244775
"492",650000,1550000,3,0.072463768115942,0.302157187221408,0.760145666278817,2.5157292244775
"493",1850000,1550000,3,0.072463768115942,0.260210428066692,0.631148937169793,2.42553283455661
"494",1950000,1550000,3,0.072463768115942,0.25984612110141,0.631148937169793,2.42893345682646
"495",2050000,1550000,3,0.072463768115942,0.25984612110141,0.631148937169793,2.42893345682646
"496",3050000,1550000,NA,0.144927536231884,0.461932492538912,0.798121043374077,1.72778719026102
"497",3150000,1550000,3,0.144927536231884,0.461932492538912,0.798121043374077,1.72778719026102
"498",3250000,1550000,12,0.173913043478261,0.504443573990085,0.820763676056514,1.62706736367831
"499",3350000,1550000,12,0.217391304347826,0.599858960329462,0.871061947255962,1.45211125424808
"500",3450000,1550000,12,0.217391304347826,0.599858960329462,0.871061947255962,1.45211125424808
"501",3550000,1550000,12,0.217391304347826,0.599858960329462,0.871061947255962,1.45211125424808
"502",3650000,1550000,12,0.202898550724638,0.593888395296337,0.860649028738075,1.4491763697599
"503",3750000,1550000,12,0.188405797101449,0.575603848087075,0.845582711166632,1.46903588983428
"504",3850000,1550000,12,NA,NA,NA,NA
"505",3950000,1550000,12,NA,NA,NA,NA
"506",4050000,1550000,12,NA,NA,NA,NA
"507",4150000,1550000,12,NA,NA,NA,NA
"508",4250000,1550000,12,NA,NA,NA,NA
"509",4350000,1550000,12,NA,NA,NA,NA
"510",4450000,1550000,12,NA,NA,NA,NA
"511",4550000,1550000,12,NA,NA,NA,NA
"512",4650000,1550000,12,NA,NA,NA,NA
"513",-3350000,1450000,3,NA,NA,NA,NA
"514",-3250000,1450000,3,NA,NA,NA,NA
"515",-3150000,1450000,3,NA,NA,NA,NA
"516",-3050000,1450000,3,NA,NA,NA,NA
"517",-2950000,1450000,3,NA,NA,NA,NA
"518",-2850000,1450000,3,NA,NA,NA,NA
"519",-2750000,1450000,3,NA,NA,NA,NA
"520",-2650000,1450000,3,0.231884057971014,0.445055920922368,0.849700527635763,1.90919946840563
"521",-2550000,1450000,3,0.217391304347826,0.479628087754749,0.849265253477633,1.77067456047714
"522",-2450000,1450000,3,0.231884057971014,0.479957326077549,0.849566210243286,1.77008697249475
"523",-2350000,1450000,3,0.246376811594203,0.48923404513458,0.850791763424407,1.73902812342172
"524",-2250000,1450000,3,0.260869565217391,0.484859391614713,0.852793227094687,1.75884646527039
"525",-2150000,1450000,3,0.260869565217391,0.484859391614713,0.852793227094687,1.75884646527039
"526",-2050000,1450000,3,0.27536231884058,0.485394735459034,0.853986304826281,1.75936457987884
"527",-1950000,1450000,3,0.260869565217391,0.470044290662464,0.841756590662234,1.79080271239098
"528",550000,1450000,3,NA,NA,NA,NA
"529",1750000,1450000,3,0.072463768115942,0.260210428066692,0.631148937169793,2.42553283455661
"530",1950000,1450000,3,0.0579710144927536,0.228142699954884,0.559329988644801,2.45166726244324
"531",3050000,1450000,3,0.130434782608696,0.387742978711228,0.792309387708801,2.04338809781227
"532",3150000,1450000,3,0.159420289855072,0.488966633510018,0.808533961892466,1.65355651384319
"533",3250000,1450000,12,0.202898550724638,0.557219562466819,0.867618260625608,1.55704917606383
"534",3350000,1450000,12,0.202898550724638,0.5815744131202,0.855995629684519,1.47185916431919
"535",3450000,1450000,12,0.217391304347826,0.599858960329462,0.871061947255962,1.45211125424808
"536",3550000,1450000,12,0.202898550724638,0.593888395296337,0.860649028738075,1.4491763697599
"537",3650000,1450000,12,0.188405797101449,0.575603848087075,0.845582711166632,1.46903588983428
"538",3750000,1450000,12,0.188405797101449,0.575603848087075,0.845582711166632,1.46903588983428
"539",3850000,1450000,12,NA,NA,NA,NA
"540",3950000,1450000,12,NA,NA,NA,NA
"541",4050000,1450000,12,NA,NA,NA,NA
"542",4150000,1450000,12,NA,NA,NA,NA
"543",4250000,1450000,12,NA,NA,NA,NA
"544",4350000,1450000,12,NA,NA,NA,NA
"545",4450000,1450000,12,NA,NA,NA,NA
"546",4550000,1450000,12,NA,NA,NA,NA
"547",4650000,1450000,12,NA,NA,NA,NA
"548",-3350000,1350000,3,NA,NA,NA,NA
"549",-3250000,1350000,3,NA,NA,NA,NA
"550",-3150000,1350000,3,NA,NA,NA,NA
"551",-3050000,1350000,3,NA,NA,NA,NA
"552",-2950000,1350000,3,NA,NA,NA,NA
"553",-2850000,1350000,3,NA,NA,NA,NA
"554",-2750000,1350000,3,NA,NA,NA,NA
"555",-2650000,1350000,3,0.231884057971014,0.445055920922368,0.849700527635763,1.90919946840563
"556",-2550000,1350000,3,0.246376811594203,0.445591264766689,0.850893605367357,1.90958322715973
"557",-2450000,1350000,3,0.246376811594203,0.48049266992187,0.850759287974881,1.77059784931416
"558",-2350000,1350000,3,0.289855072463768,0.520296457609017,0.856809497640967,1.64677173006015
"559",-2250000,1350000,3,0.27536231884058,0.485394735459034,0.853986304826281,1.75936457987884
"560",-2150000,1350000,3,0.27536231884058,0.485394735459034,0.853986304826281,1.75936457987884
"561",-2050000,1350000,3,0.260869565217391,0.479243087697349,0.852760751645261,1.77939082176975
