"","x","y","Regions","Species.richness","Phylogenetic.diversity","Functional.diversity","Functional.Phylognetic.diversity"
"220",-3250000,2250000,6,NA,NA,NA,NA
"221",-3150000,2250000,6,NA,NA,NA,NA
"222",-3050000,2250000,6,NA,NA,NA,NA
"223",-2950000,2250000,6,NA,NA,NA,NA
"224",-2850000,2250000,6,NA,NA,NA,NA
"225",-2750000,2250000,6,NA,NA,NA,NA
"226",-2650000,2250000,6,NA,NA,NA,NA
"227",-2550000,2250000,6,NA,NA,NA,NA
"228",-2450000,2250000,6,NA,NA,NA,NA
"229",-2350000,2250000,3,NA,NA,NA,NA
"230",-2250000,2250000,3,NA,NA,NA,NA
"231",-2150000,2250000,6,NA,NA,NA,NA
"232",-2050000,2250000,3,NA,NA,NA,NA
"233",-1950000,2250000,3,0.173913043478261,0.441449777876255,0.842257840372234,1.90793581191546
"234",-1850000,2250000,6,0.159420289855072,0.429908187591608,0.770438891847241,1.79210099757188
"235",-1450000,2250000,6,0.159420289855072,0.393109820644979,0.835761666460068,2.12602591583396
"236",-1350000,2250000,6,0.173913043478261,0.411784282746504,0.874157843973557,2.12285383537014
"237",-1250000,2250000,6,NA,NA,NA,NA
"238",-1150000,2250000,6,NA,NA,NA,NA
"239",-1050000,2250000,6,NA,NA,NA,NA
"240",-950000,2250000,6,NA,NA,NA,NA
"241",-850000,2250000,6,NA,NA,NA,NA
"242",-750000,2250000,6,0.202898550724638,0.414729618791659,0.880773933236974,2.12373048205036
"243",2150000,2250000,3,NA,NA,NA,NA
"244",2250000,2250000,3,NA,NA,NA,NA
"245",3350000,2250000,12,0.188405797101449,0.564457303947423,0.866199138068648,1.53456981070322
"246",3450000,2250000,12,NA,NA,NA,NA
"247",3550000,2250000,12,NA,NA,NA,NA
"248",4350000,2250000,12,NA,NA,NA,NA
"249",-3350000,2150000,6,NA,NA,NA,NA
"250",-3250000,2150000,6,NA,NA,NA,NA
"251",-3150000,2150000,6,NA,NA,NA,NA
"252",-3050000,2150000,6,NA,NA,NA,NA
"253",-2950000,2150000,6,NA,NA,NA,NA
"254",-2850000,2150000,6,NA,NA,NA,NA
"255",-2750000,2150000,6,NA,NA,NA,NA
"256",-2650000,2150000,6,NA,NA,NA,NA
"257",-2550000,2150000,6,NA,NA,NA,NA
"258",-2450000,2150000,3,NA,NA,NA,NA
"259",-2350000,2150000,3,NA,NA,NA,NA
"260",-2250000,2150000,3,NA,NA,NA,NA
"261",-2150000,2150000,3,NA,NA,NA,NA
"262",-2050000,2150000,3,0.173913043478261,0.441449777876255,0.842257840372234,1.90793581191546
"263",-1950000,2150000,3,0.217391304347826,0.475765411047872,0.850747858990399,1.78816668726848
"264",-1850000,2150000,3,0.202898550724638,0.464223820763225,0.778928910465407,1.6779167195358
"265",-1350000,2150000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"266",-1250000,2150000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"267",-1150000,2150000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"268",-1050000,2150000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"269",-950000,2150000,6,0.202898550724638,0.415058223124856,0.878117379795464,2.11564867498436
"270",-850000,2150000,6,0.217391304347826,0.41505885711446,0.881074890002626,2.12277096344352
"271",-750000,2150000,6,0.202898550724638,0.414729618791659,0.880773933236974,2.12373048205036
